Result for strategy BigZ07
============================================================ BACKTESTING REPORT ===========================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    SLP/USDT |      5 |           1.60 |           7.98 |             2.305 |           2.88 |         1:09:00 |     5     0     0   100 |
|    MBL/USDT |      7 |           1.27 |           8.89 |             2.186 |           2.73 |         3:46:00 |     7     0     0   100 |
|    GTO/USDT |      4 |           2.05 |           8.19 |             1.861 |           2.33 |         1:09:00 |     4     0     0   100 |
|    TLM/USDT |      5 |           1.23 |           6.15 |             1.843 |           2.30 |         0:51:00 |     5     0     0   100 |
|   RUNE/USDT |      4 |           1.80 |           7.19 |             1.820 |           2.27 |         6:34:00 |     4     0     0   100 |
|    STX/USDT |      5 |           1.26 |           6.32 |             1.817 |           2.27 |         3:19:00 |     5     0     0   100 |
|   CELO/USDT |      3 |           2.42 |           7.25 |             1.686 |           2.11 |         0:53:00 |     3     0     0   100 |
|    DOT/USDT |      3 |           2.48 |           7.43 |             1.551 |           1.94 |        13:37:00 |     3     0     0   100 |
|   AAVE/USDT |      4 |           1.47 |           5.89 |             1.480 |           1.85 |         9:29:00 |     4     0     0   100 |
|   MANA/USDT |      5 |           1.06 |           5.29 |             1.440 |           1.80 |         4:19:00 |     5     0     0   100 |
|   DATA/USDT |      7 |           0.87 |           6.09 |             1.429 |           1.79 |         1:22:00 |     7     0     0   100 |
|  AUDIO/USDT |      3 |           1.66 |           4.99 |             1.353 |           1.69 |        14:02:00 |     3     0     0   100 |
|   DOGE/USDT |      5 |           1.13 |           5.65 |             1.339 |           1.67 |         0:39:00 |     5     0     0   100 |
|    TKO/USDT |      2 |           3.19 |           6.37 |             1.282 |           1.60 |         0:48:00 |     2     0     0   100 |
|   DOCK/USDT |      9 |           0.52 |           4.68 |             1.266 |           1.58 |         3:25:00 |     8     0     1  88.9 |
|   HARD/USDT |      6 |           0.93 |           5.59 |             1.259 |           1.57 |         1:58:00 |     6     0     0   100 |
|  TFUEL/USDT |      3 |           1.93 |           5.80 |             1.234 |           1.54 |         4:23:00 |     3     0     0   100 |
|   WING/USDT |      3 |           1.37 |           4.10 |             1.230 |           1.54 |        11:08:00 |     3     0     0   100 |
|    BTG/USDT |      5 |           0.96 |           4.82 |             1.091 |           1.36 |         1:15:00 |     5     0     0   100 |
|    CHR/USDT |      2 |           1.87 |           3.73 |             1.062 |           1.33 |         1:48:00 |     2     0     0   100 |
|   STMX/USDT |      3 |           1.45 |           4.36 |             1.054 |           1.32 |         4:22:00 |     3     0     0   100 |
|    NMR/USDT |      3 |           1.37 |           4.10 |             0.976 |           1.22 |         2:47:00 |     3     0     0   100 |
|    FTM/USDT |      2 |           1.80 |           3.60 |             0.826 |           1.03 |  1 day, 8:08:00 |     2     0     0   100 |
|    ETC/USDT |      2 |           1.59 |           3.18 |             0.825 |           1.03 |         0:32:00 |     2     0     0   100 |
|    KSM/USDT |      4 |           0.91 |           3.63 |             0.821 |           1.03 |         1:02:00 |     4     0     0   100 |
|    ENJ/USDT |      2 |           1.40 |           2.80 |             0.819 |           1.02 |         0:55:00 |     2     0     0   100 |
|    CHZ/USDT |      3 |           0.96 |           2.87 |             0.787 |           0.98 |         0:48:00 |     3     0     0   100 |
|  ALPHA/USDT |      4 |           0.82 |           3.30 |             0.784 |           0.98 |        12:25:00 |     4     0     0   100 |
|   ANKR/USDT |      2 |           1.65 |           3.30 |             0.761 |           0.95 |         1:15:00 |     2     0     0   100 |
|    AXS/USDT |      3 |           0.93 |           2.80 |             0.728 |           0.91 |         3:35:00 |     3     0     0   100 |
|    ONG/USDT |      2 |           1.65 |           3.30 |             0.720 |           0.90 |         0:22:00 |     2     0     0   100 |
|    SOL/USDT |      2 |           1.67 |           3.34 |             0.699 |           0.87 |         1:18:00 |     2     0     0   100 |
|    ONE/USDT |      3 |           0.93 |           2.80 |             0.691 |           0.86 |         3:17:00 |     3     0     0   100 |
|  COCOS/USDT |      3 |           0.93 |           2.80 |             0.689 |           0.86 |         1:12:00 |     3     0     0   100 |
|    CRV/USDT |      3 |           1.01 |           3.02 |             0.678 |           0.85 |         2:27:00 |     3     0     0   100 |
|   CTSI/USDT |      3 |           0.99 |           2.98 |             0.662 |           0.83 |         2:10:00 |     3     0     0   100 |
|   ATOM/USDT |      2 |           1.15 |           2.30 |             0.653 |           0.82 |         0:35:00 |     2     0     0   100 |
|    SNX/USDT |      4 |           0.58 |           2.30 |             0.622 |           0.78 |         1:35:00 |     4     0     0   100 |
|   POLS/USDT |      2 |           1.15 |           2.30 |             0.619 |           0.77 |         9:15:00 |     2     0     0   100 |
|   COMP/USDT |      3 |           0.93 |           2.80 |             0.606 |           0.76 |        12:07:00 |     3     0     0   100 |
|  WAVES/USDT |      3 |           0.84 |           2.51 |             0.606 |           0.76 |         1:18:00 |     3     0     0   100 |
|   BAKE/USDT |      2 |           1.15 |           2.30 |             0.556 |           0.70 |         0:35:00 |     2     0     0   100 |
|   DENT/USDT |      2 |           1.15 |           2.30 |             0.541 |           0.68 |         0:32:00 |     2     0     0   100 |
|  THETA/USDT |      2 |           1.26 |           2.53 |             0.533 |           0.67 |         1:20:00 |     2     0     0   100 |
|  MATIC/USDT |      2 |           1.15 |           2.30 |             0.526 |           0.66 |         1:28:00 |     2     0     0   100 |
|   IOST/USDT |      2 |           1.15 |           2.30 |             0.521 |           0.65 |         0:32:00 |     2     0     0   100 |
|    XVS/USDT |      2 |           0.92 |           1.85 |             0.511 |           0.64 |         1:35:00 |     2     0     0   100 |
|   ALGO/USDT |      1 |           1.80 |           1.80 |             0.467 |           0.58 |  1 day, 5:20:00 |     1     0     0   100 |
|    OXT/USDT |      2 |           0.84 |           1.68 |             0.462 |           0.58 |         2:05:00 |     2     0     0   100 |
|    NEO/USDT |      1 |           1.80 |           1.80 |             0.462 |           0.58 |         7:55:00 |     1     0     0   100 |
|    ATM/USDT |      1 |           1.80 |           1.80 |             0.430 |           0.54 |         0:10:00 |     1     0     0   100 |
|    ZRX/USDT |      1 |           1.80 |           1.80 |             0.422 |           0.53 |         0:15:00 |     1     0     0   100 |
|    RVN/USDT |      1 |           1.80 |           1.80 |             0.420 |           0.52 |         4:05:00 |     1     0     0   100 |
|   DODO/USDT |      2 |           0.74 |           1.47 |             0.411 |           0.51 |         2:12:00 |     2     0     0   100 |
|    GRT/USDT |      1 |           1.80 |           1.80 |             0.407 |           0.51 |         0:10:00 |     1     0     0   100 |
|    ETH/USDT |      1 |           1.28 |           1.28 |             0.387 |           0.48 |         0:40:00 |     1     0     0   100 |
|    OMG/USDT |      3 |           0.50 |           1.50 |             0.372 |           0.46 |         1:15:00 |     3     0     0   100 |
|   EGLD/USDT |      3 |           0.50 |           1.50 |             0.371 |           0.46 |         1:43:00 |     3     0     0   100 |
|    ADA/USDT |      1 |           1.80 |           1.80 |             0.369 |           0.46 | 1 day, 16:50:00 |     1     0     0   100 |
|    AVA/USDT |      2 |           0.82 |           1.64 |             0.358 |           0.45 |         0:48:00 |     2     0     0   100 |
|   LUNA/USDT |      2 |           0.66 |           1.32 |             0.330 |           0.41 |         1:12:00 |     2     0     0   100 |
|   KAVA/USDT |      2 |           0.62 |           1.23 |             0.298 |           0.37 |         1:35:00 |     2     0     0   100 |
|  BTCST/USDT |      2 |           0.52 |           1.03 |             0.270 |           0.34 |         1:28:00 |     2     0     0   100 |
|    PNT/USDT |      2 |           0.50 |           1.00 |             0.218 |           0.27 |         1:32:00 |     2     0     0   100 |
|   POND/USDT |      2 |           0.50 |           1.00 |             0.208 |           0.26 |         1:25:00 |     2     0     0   100 |
|   QTUM/USDT |      1 |           0.76 |           0.76 |             0.174 |           0.22 |         0:40:00 |     1     0     0   100 |
|    DGB/USDT |      1 |           0.64 |           0.64 |             0.166 |           0.21 |         1:25:00 |     1     0     0   100 |
| BURGER/USDT |      1 |           0.57 |           0.57 |             0.154 |           0.19 |         0:50:00 |     1     0     0   100 |
|   CAKE/USDT |      1 |           0.50 |           0.50 |             0.130 |           0.16 |         1:30:00 |     1     0     0   100 |
|    LTC/USDT |      1 |           0.50 |           0.50 |             0.119 |           0.15 |         1:35:00 |     1     0     0   100 |
|    DNT/USDT |      1 |           0.50 |           0.50 |             0.117 |           0.15 |         1:50:00 |     1     0     0   100 |
|    MKR/USDT |      1 |           0.50 |           0.50 |             0.114 |           0.14 |         1:05:00 |     1     0     0   100 |
|    SXP/USDT |      1 |           0.50 |           0.50 |             0.114 |           0.14 |         2:10:00 |     1     0     0   100 |
|   HBAR/USDT |      1 |           0.50 |           0.50 |             0.113 |           0.14 |         0:40:00 |     1     0     0   100 |
|    ZIL/USDT |      1 |           0.50 |           0.50 |             0.112 |           0.14 |         2:10:00 |     1     0     0   100 |
|    CKB/USDT |      1 |           0.50 |           0.50 |             0.104 |           0.13 |         2:50:00 |     1     0     0   100 |
|    ONT/USDT |      1 |           0.50 |           0.50 |             0.103 |           0.13 |         1:20:00 |     1     0     0   100 |
|    WRX/USDT |      1 |           0.50 |           0.50 |             0.099 |           0.12 |         1:20:00 |     1     0     0   100 |
